TransactionID,Amount,Time,UserID,Location,Merchant,Class
2099,159.91,79608,1969,TX,eBay,0
2100,50.41,85953,1622,NY,eBay,0
2101,246.62,71979,1289,CA,Target,0
2102,76.15,21925,1906,FL,Costco,0
2103,17.19,30993,1696,TX,Costco,0
2104,119.04,65796,1234,TX,Amazon,0
2105,157.63,74663,1156,WA,Amazon,0
2106,38.09,49483,1405,WA,eBay,0
2107,194.62,24843,1672,CA,eBay,0
2108,236.6,37879,1504,FL,eBay,0
2109,32.42,68457,1711,WA,Amazon,0
2110,410.57,3888,1121,TX,Costco,0
2111,15.17,65713,1944,CA,Amazon,0
2112,22.57,51151,1223,WA,Costco,0
2113,20.36,7426,1999,WA,Amazon,0
2114,224.42,70031,1876,NY,Costco,0
2115,106.22,10047,1022,CA,Amazon,0
2116,16.5,18039,1196,CA,Costco,0
2117,58.04,61096,1478,FL,Target,0
2118,95.53,35301,1284,WA,Target,0
2119,8.72,48707,1517,CA,Walmart,0
2120,214.06,45114,1307,FL,Costco,0
2121,162.76,21366,1344,WA,Costco,0
2122,70.36,20745,1600,TX,Costco,0
2123,341.51,43082,1990,NY,Walmart,0
2124,54.09,55270,1889,FL,Amazon,0
2125,414.21,11353,1397,NY,Target,0
2126,110.24,25080,1784,TX,Walmart,0
2127,100.7,18788,1463,CA,Target,1
2128,18.15,34969,1795,WA,eBay,0
2129,213.65,55171,1776,CA,Walmart,0
2130,55.77,60633,1114,NY,Walmart,0
2131,17.7,5659,1635,CA,Target,0
2132,1.27,33921,1449,CA,Costco,0
2133,82.04,4161,1771,FL,eBay,0
2134,74.95,15503,1403,FL,Target,0
2135,127.07,24982,1680,TX,Walmart,0
2136,220.96,69014,1547,FL,Costco,0
2137,8.27,55910,1228,FL,eBay,0
2138,131.49,52632,1645,FL,Costco,0
2139,20.75,27172,1243,FL,Target,0
2140,195.32,75696,1064,TX,Costco,0
2141,170.96,57804,1236,FL,Walmart,0
2142,77.83,77467,1945,FL,Walmart,0
2143,123.87,63107,1959,NY,Amazon,0
2144,37.74,58926,1002,FL,eBay,0
2145,63.71,73137,1499,TX,Target,0
2146,172.39,69053,1036,TX,Costco,0
2147,61.48,70338,1620,CA,Walmart,0
2148,44.29,84295,1249,FL,Amazon,0
2149,68.16,73386,1002,WA,Target,0
2150,176.17,6744,1234,CA,Walmart,0
2151,40.83,71784,1416,TX,Target,1
2152,19.09,60083,1954,CA,Walmart,0
2153,124.48,50123,1250,WA,Target,0
2154,174.86,72672,1142,NY,Walmart,0
2155,10.61,42285,1759,WA,Costco,0
2156,27.43,57496,1055,CA,eBay,0
2157,15.31,77336,1060,FL,Walmart,0
2158,42.76,62396,1067,NY,Target,1
2159,59.85,52238,1078,WA,Walmart,0
2160,138.16,13417,1326,FL,Amazon,0
2161,105.31,45129,1366,WA,Costco,0
2162,97,37719,1707,TX,Amazon,0
2163,43.44,4002,1957,FL,Target,0
2164,184.17,2332,1706,TX,Walmart,0
2165,63.73,26149,1534,NY,Walmart,0
2166,386.82,69911,1525,NY,Amazon,0
2167,100.55,85808,1389,NY,eBay,0
2168,13.5,58923,1288,NY,Costco,0
2169,112.76,17352,1520,TX,Walmart,0
2170,39.32,61081,1651,TX,Walmart,0
2171,115.94,63778,1753,CA,Target,0
2172,7.22,67569,1252,CA,Amazon,0
2173,19.22,21645,1738,TX,Target,0
2174,193.61,25343,1884,NY,Costco,0
2175,25.77,645,1094,CA,Walmart,0
2176,181.43,31775,1690,FL,Amazon,0
2177,32.75,4121,1002,TX,Amazon,0
2178,102.97,63742,1695,FL,Amazon,0
2179,118.47,73648,1045,NY,Costco,0
2180,71.88,9271,1803,TX,eBay,0
2181,36.43,39204,1652,CA,eBay,0
2182,23.91,25212,1524,CA,eBay,0
2183,3.38,75828,1697,FL,Target,0
2184,36.23,23481,1481,TX,Target,0
2185,105.89,66404,1596,NY,Costco,0
2186,278.55,38682,1417,WA,Amazon,0
2187,204.95,61441,1042,WA,eBay,0
2188,145.27,73749,1895,NY,Walmart,0
2189,155.33,59969,1667,CA,eBay,0
2190,109.36,64747,1695,WA,Costco,0
2191,30.15,1903,1558,NY,eBay,0
2192,237.73,35344,1930,FL,Walmart,0
2193,111.09,18319,1205,CA,Walmart,0
2194,82.2,21441,1721,NY,Walmart,0
2195,11.76,76178,1274,FL,Costco,0
2196,59.25,77312,1594,TX,eBay,0
2197,61.68,24862,1096,WA,Costco,0
2198,199.93,31103,1178,WA,Walmart,0
2199,79.11,11510,1866,WA,eBay,0
2200,47.87,34691,1147,NY,Target,0
2201,376.36,78938,1796,TX,Costco,0
2202,11.73,71991,1383,NY,Target,0
2203,54.91,40372,1071,NY,Target,0
2204,4.29,68309,1216,TX,Amazon,0
2205,134.67,43050,1720,FL,Walmart,0
2206,250.2,27377,1832,CA,Target,0
2207,32.86,58336,1805,WA,Costco,0
2208,195.43,75312,1432,TX,Walmart,0
2209,34.56,58219,1635,FL,Walmart,0
2210,241.65,59229,1500,TX,Costco,0
2211,140.23,65679,1861,CA,eBay,0
2212,163.43,56648,1667,TX,Costco,0
2213,1.82,25698,1032,TX,eBay,0
2214,329.17,17083,1780,FL,Walmart,0
2215,129.71,45169,1215,WA,Costco,0
2216,36.35,22702,1939,WA,Target,0
2217,176.84,41022,1100,FL,Costco,0
2218,33.06,66543,1469,FL,Target,0
2219,206.16,75710,1179,NY,Target,0
2220,11.94,7203,1638,NY,Walmart,0
2221,121.63,59772,1332,CA,eBay,0
2222,77.8,36492,1487,NY,eBay,0
2223,10.15,58636,1459,NY,Target,0
2224,27.69,55639,1376,TX,eBay,0
2225,1.25,40685,1680,TX,Costco,0
2226,63.26,15739,1816,FL,Target,0
2227,35.85,29917,1877,WA,Target,1
2228,91.22,20704,1134,CA,Amazon,0
2229,35.27,58521,1803,NY,Costco,0
2230,35.66,47383,1604,TX,eBay,0
2231,135.94,72742,1732,WA,eBay,0
2232,4.93,24307,1409,NY,Amazon,0
2233,233.2,4716,1154,WA,Costco,0
2234,191.23,56270,1279,TX,Walmart,0
2235,110.2,18920,1478,FL,Walmart,0
2236,89.95,37871,1198,NY,Costco,0
2237,222.84,42928,1848,NY,eBay,0
2238,20.5,13587,1752,CA,Walmart,0
2239,8.23,1195,1416,NY,Walmart,0
2240,27.38,25083,1097,TX,eBay,0
2241,158.27,22438,1249,WA,Costco,0
2242,3.53,20009,1913,WA,Amazon,0
2243,87.42,13696,1104,FL,Costco,0
2244,538.99,7564,1772,FL,Amazon,0
2245,193.58,3637,1640,TX,Costco,0
2246,73.7,62759,1326,WA,Walmart,0
2247,6.58,17790,1889,FL,Target,0
2248,178.01,71050,1481,FL,Target,0
2249,91.37,56924,1770,CA,eBay,0
2250,12.21,12568,1803,CA,Costco,0
2251,9.86,70847,1930,TX,Costco,0
2252,240.38,41596,1946,TX,eBay,0
2253,110.62,38315,1376,TX,eBay,0
2254,176.78,17191,1651,TX,Amazon,0
2255,211.18,20908,1014,WA,Amazon,0
2256,84.81,1415,1899,NY,Target,0
2257,72.87,40276,1695,TX,Walmart,0
2258,56.29,47650,1480,CA,Costco,1
2259,38.12,64427,1015,NY,Target,0
2260,57.02,84369,1732,NY,Target,0
2261,148.67,15406,1901,WA,Walmart,0
2262,92.11,29336,1574,FL,Target,0
2263,223.05,77316,1752,NY,Target,1
2264,58.59,39871,1484,WA,Walmart,0
2265,93.42,12221,1278,WA,Target,0
2266,99.78,21116,1332,WA,Costco,0
2267,89.57,39790,1939,TX,eBay,0
2268,121.28,79958,1256,FL,Walmart,0
2269,27.11,41474,1184,TX,eBay,0
2270,71.82,40100,1587,CA,Costco,0
2271,11.01,5416,1026,FL,Target,0
2272,48.53,15251,1024,TX,Target,0
2273,66.88,27074,1853,FL,Target,0
2274,105.62,65447,1061,CA,eBay,0
2275,300.64,57684,1993,TX,Amazon,0
2276,91.79,77700,1657,FL,eBay,0
2277,136.1,54822,1232,CA,Amazon,0
2278,70.58,68004,1463,WA,eBay,0
2279,100.54,51580,1348,FL,Costco,0
2280,7.36,55300,1285,CA,eBay,0
2281,29.36,43655,1413,WA,eBay,0
2282,44.92,2027,1595,CA,Walmart,0
2283,63.96,11944,1686,NY,Target,0
2284,4.67,315,1405,CA,Target,0
2285,15.09,79669,1380,TX,Target,0
2286,32.41,36757,1169,TX,Amazon,0
2287,355.9,24268,1289,TX,Costco,0
2288,40.25,51011,1958,TX,Amazon,0
2289,65.79,64544,1515,NY,Walmart,0
2290,21.83,70293,1286,NY,Walmart,0
2291,94.36,40640,1306,NY,eBay,0
2292,32.95,29967,1561,WA,Walmart,0
2293,23.19,28798,1781,FL,Walmart,0
2294,72.69,61788,1007,TX,Costco,0
2295,0.55,31461,1356,FL,Walmart,0
2296,0.77,82163,1580,TX,eBay,0
2297,24.73,63496,1903,TX,Target,0
2298,3.74,66247,1138,TX,Amazon,0
2299,11.43,11085,1510,NY,Amazon,0
2300,41.38,73460,1247,WA,Amazon,0
2301,162.25,81085,1540,TX,eBay,0
2302,84.87,58852,1182,TX,Costco,0
2303,71.88,73998,1724,TX,eBay,0
2304,34.74,2560,1422,CA,Amazon,0
2305,268.46,19944,1396,TX,eBay,0
2306,50.59,67713,1831,NY,eBay,0
2307,9.11,60161,1304,NY,eBay,0
2308,95.99,20098,1018,FL,Target,0
2309,12.09,27475,1382,NY,eBay,0
2310,42.35,42736,1962,FL,Costco,0
2311,70.81,21416,1225,WA,Target,0
2312,207.32,79656,1229,CA,eBay,0
2313,68.03,2948,1850,NY,Walmart,0
2314,121.15,2520,1607,TX,Amazon,0
2315,493.6,72805,1494,WA,Target,0
2316,14.1,62976,1483,TX,Walmart,0
2317,32.12,13336,1626,FL,Amazon,0
2318,50.18,60112,1358,FL,Costco,0
2319,54.79,14020,1691,CA,Walmart,0
2320,52.94,64566,1372,WA,Costco,0
2321,238.17,16746,1077,FL,Costco,0
2322,125.19,67792,1326,TX,Walmart,0
2323,93.63,78372,1275,NY,Walmart,1
2324,37.02,25711,1351,NY,Target,0
2325,173.61,4358,1877,WA,Costco,0
2326,310.24,11339,1181,WA,Walmart,0
2327,172.15,32039,1504,FL,Costco,0
2328,0.16,21245,1606,NY,eBay,0
2329,101.17,17259,1597,CA,eBay,0
2330,5.25,61086,1388,CA,eBay,0
2331,29.79,55107,1606,CA,Costco,0
2332,6.14,72665,1334,CA,Costco,0
2333,92.58,53003,1445,FL,Walmart,0
2334,116.02,48789,1508,TX,Walmart,0
2335,12.16,40573,1656,CA,Target,0
2336,48.42,55808,1247,FL,Target,0
2337,60.92,41588,1692,CA,Target,0
2338,46.05,76747,1292,CA,Amazon,0
2339,12.9,81164,1530,TX,eBay,0
2340,54.29,26300,1137,CA,Costco,0
2341,139.1,47092,1555,FL,eBay,0
2342,7.37,83048,1737,FL,Costco,0
2343,8.36,48408,1944,NY,Amazon,0
2344,43.82,85847,1344,WA,Costco,0
2345,284.26,65124,1036,CA,Target,0
2346,110.43,35609,1313,CA,eBay,0
2347,113.53,11139,1219,FL,eBay,0
2348,44.93,38245,1639,CA,eBay,0
2349,90.06,50160,1142,FL,Amazon,0
2350,1.02,83146,1403,NY,eBay,0
2351,101.09,50787,1694,CA,Walmart,0
2352,244.52,28952,1908,NY,Target,0
2353,94.82,64403,1403,NY,Target,0
2354,206.91,79104,1554,WA,Costco,0
2355,128.73,77538,1478,FL,Amazon,0
2356,12.85,7529,1721,NY,Costco,0
2357,232.74,83605,1936,FL,Costco,0
2358,6.88,48478,1559,WA,Target,0
2359,76.35,62525,1823,FL,Walmart,0
2360,15.33,69248,1219,WA,Amazon,0
2361,1.18,65091,1366,CA,Amazon,0
2362,54.82,39826,1195,WA,Amazon,0
2363,34.96,57885,1983,WA,Walmart,0
2364,66.55,19328,1683,WA,Amazon,0
2365,86.09,83247,1748,TX,eBay,0
2366,4.47,5906,1968,NY,Walmart,0
2367,13.13,29107,1686,FL,Costco,0
2368,81.79,51412,1945,FL,eBay,0
2369,42.03,83349,1031,TX,Costco,0
2370,130.63,9153,1735,CA,Amazon,0
2371,105.64,46213,1053,NY,Walmart,0
2372,186.82,31679,1422,NY,eBay,0
2373,117.93,84388,1980,NY,Walmart,0
2374,56.2,19612,1697,NY,Walmart,0
2375,111.77,30907,1233,TX,Walmart,0
2376,32.21,53551,1828,FL,Costco,0
2377,36.57,80984,1742,CA,Walmart,0
2378,155.58,3966,1109,CA,Amazon,0
2379,59.13,54433,1986,CA,eBay,0
2380,160.14,21401,1878,TX,Target,0
2381,172.83,21539,1099,TX,Walmart,1
2382,194.89,34018,1711,WA,eBay,0
2383,248.45,59542,1210,TX,Costco,0
2384,56.38,70224,1732,NY,Costco,0
2385,38.4,63534,1402,FL,Walmart,0
2386,87.27,85993,1836,CA,Walmart,0
2387,46.39,36555,1149,TX,Amazon,0
2388,91.9,10470,1674,FL,Target,0
2389,122.28,38426,1393,NY,Walmart,0
2390,116.61,74729,1654,TX,Walmart,0
2391,46.93,52924,1257,TX,Amazon,0
2392,18.26,58954,1244,FL,Costco,0
2393,56.3,36759,1149,NY,Target,0
2394,15.38,74831,1623,TX,Costco,0
2395,220.82,14735,1098,FL,Walmart,0
2396,42.45,47011,1102,NY,Target,0
2397,16.78,68568,1722,TX,Walmart,0
2398,2.58,36671,1011,TX,Amazon,0
2399,103.8,25836,1892,CA,Amazon,0
2400,101.31,60854,1225,WA,Costco,0
2401,41.64,51488,1957,NY,eBay,0
2402,7.44,36091,1812,FL,Costco,0
2403,52.7,7120,1441,CA,Target,0
2404,37.28,7859,1147,TX,Amazon,0
2405,113.05,30611,1178,FL,Costco,0
2406,93.08,45477,1006,CA,Amazon,0
2407,45.35,6786,1151,CA,eBay,0
2408,24.58,21185,1834,WA,Costco,0
2409,442.59,69245,1581,CA,Amazon,0
2410,60.51,84690,1352,NY,Walmart,0
2411,116.56,63906,1564,WA,eBay,0
2412,15.15,86395,1673,WA,Walmart,0
2413,66.47,69745,1416,TX,Target,0
2414,2.79,80382,1604,TX,eBay,0
2415,70.41,18003,1662,NY,Amazon,1
2416,332.47,84436,1569,FL,Walmart,0
2417,48.48,77916,1195,NY,Target,0
2418,3.98,9707,1324,WA,Walmart,0
2419,3.14,24379,1481,TX,eBay,0
2420,49.1,50277,1207,NY,Walmart,0
2421,17.44,72442,1935,TX,Walmart,0
2422,2.36,81431,1302,NY,Costco,0
2423,141.15,54756,1298,NY,Amazon,0
2424,61.35,84956,1956,CA,Walmart,0
2425,34.14,80748,1425,NY,Costco,0
2426,230.34,79859,1061,TX,Amazon,0
2427,12.35,61579,1194,NY,eBay,0
2428,312.17,72884,1566,FL,eBay,0
2429,37.68,66111,1362,CA,Costco,0
2430,219.29,39939,1560,NY,Costco,0
2431,92.37,15748,1617,FL,eBay,0
2432,175.28,68879,1944,TX,Target,0
2433,413.6,42115,1077,FL,Amazon,0
2434,34.02,62023,1886,CA,Amazon,0
2435,324.77,59984,1928,TX,Costco,0
2436,49.34,42495,1283,NY,Amazon,0
2437,48.7,40747,1056,NY,Target,0
2438,41.61,74690,1680,FL,Amazon,0
2439,77.96,60378,1375,NY,Costco,0
2440,16.74,21555,1375,TX,Walmart,0
2441,80.68,26623,1718,TX,Walmart,0
2442,78.02,37309,1771,NY,Costco,0
2443,143.51,85780,1787,FL,Walmart,0
2444,179.37,50666,1372,NY,Amazon,0
2445,58.06,1067,1856,WA,Costco,1
2446,36,17265,1674,NY,Costco,0
2447,30.02,72445,1243,CA,Costco,0
2448,21.64,21416,1761,NY,Walmart,0
2449,5.94,79772,1820,WA,eBay,0
2450,41.92,52791,1038,CA,Walmart,0
2451,31.51,26125,1308,FL,Costco,0
2452,339.37,76465,1632,CA,Amazon,0
2453,81.58,53709,1085,TX,eBay,0
2454,42.66,41060,1098,WA,Costco,0
2455,86.86,31411,1373,TX,Walmart,0
2456,14.99,80855,1757,TX,Target,0
2457,58.71,52684,1494,CA,Costco,0
2458,98.41,35584,1859,CA,Amazon,0
2459,67.12,71947,1905,TX,Target,0
2460,51.38,31602,1207,FL,Target,0
2461,509.1,72740,1624,NY,Walmart,0
2462,212.29,18899,1982,NY,Walmart,0
2463,97.66,69588,1082,WA,eBay,0
2464,84.25,49410,1576,CA,Costco,0
2465,96.93,57852,1000,NY,eBay,0
2466,22.48,38554,1436,FL,eBay,0
2467,50.28,12013,1685,WA,Target,0
2468,4.03,45364,1249,CA,Walmart,0
2469,64.54,47213,1409,NY,Target,0
2470,78.31,36494,1737,TX,Costco,0
2471,25.84,678,1385,FL,eBay,0
2472,332.5,30352,1795,FL,eBay,0
2473,240.19,45797,1083,CA,Costco,0
2474,128.06,9098,1489,FL,eBay,0
2475,76.23,8459,1238,CA,Walmart,0
2476,204,38894,1922,FL,Walmart,0
2477,14,78763,1539,NY,eBay,0
2478,156.31,70442,1379,CA,Costco,0
2479,13.33,7898,1798,FL,Target,0
2480,158.09,50352,1942,NY,eBay,0
2481,32.26,47207,1390,NY,Amazon,0
2482,209.63,33884,1327,NY,Walmart,0
2483,288.32,71880,1479,CA,Amazon,0
2484,16.11,27366,1970,CA,Amazon,0
2485,62.12,10836,1303,FL,Amazon,0
2486,396.27,17442,1281,TX,eBay,0
2487,66.05,56436,1694,TX,eBay,0
2488,199.18,40920,1344,WA,Amazon,0
2489,88.85,12686,1134,TX,eBay,0
2490,47.05,43604,1467,TX,Amazon,0
2491,33.66,10356,1360,FL,Amazon,0
2492,22.72,41163,1568,CA,Target,0
2493,143.46,27793,1114,TX,Target,0
2494,48.86,2491,1185,WA,Target,0
2495,71.6,59382,1477,FL,Costco,0
2496,67.79,79464,1887,NY,Walmart,0
2497,86.1,39772,1000,NY,eBay,0
2498,200.68,77096,1849,WA,Target,0
2499,394.97,7011,1967,CA,Walmart,0
2500,52.35,44518,1540,NY,Walmart,0
2501,175.75,28633,1743,CA,eBay,0
2502,144.62,4862,1661,TX,Costco,0
2503,85.22,38118,1991,TX,Amazon,0
2504,312.46,63849,1423,TX,Target,0
2505,22.37,78218,1701,NY,Costco,0
2506,11.57,45303,1269,NY,eBay,0
2507,192.39,11703,1759,CA,Costco,0
2508,57.83,15096,1897,CA,Walmart,0
2509,187.71,60047,1418,WA,Costco,0
2510,223.58,79642,1326,TX,Target,0
2511,6.45,65891,1194,FL,Costco,0
2512,214.96,8432,1892,FL,Costco,0
2513,59.48,15700,1254,TX,Walmart,0
2514,71.42,56862,1078,WA,Costco,0
2515,98.51,25196,1874,CA,Walmart,0
2516,260.89,46618,1097,NY,Target,0
2517,1.93,82774,1149,WA,Target,0
2518,64.79,59658,1785,WA,Amazon,0
2519,116.39,6704,1813,TX,Amazon,0
2520,128.27,85544,1849,CA,Walmart,0
2521,117.94,15379,1446,FL,Amazon,0
2522,14.44,54598,1122,FL,Amazon,0
2523,35.58,42020,1609,FL,eBay,0
2524,44.43,8573,1675,WA,Amazon,0
2525,163.19,22415,1557,NY,Costco,0
2526,32.68,66668,1358,CA,Target,0
2527,23.66,51628,1238,NY,Amazon,0
2528,315.7,52287,1741,FL,Walmart,0
2529,0.89,944,1804,NY,eBay,0
2530,612.88,5840,1755,WA,eBay,0
2531,112.95,53114,1529,TX,Target,0
2532,176.3,39442,1682,NY,Target,0
2533,34.9,43489,1871,NY,Walmart,0
2534,1.44,45261,1668,NY,Walmart,0
2535,133.89,44278,1203,FL,Walmart,0
2536,179.66,33602,1657,NY,eBay,0
2537,134.89,20134,1990,CA,eBay,0
2538,15.41,69720,1142,WA,Walmart,0
2539,140.01,72714,1186,CA,Amazon,0
2540,146.5,70704,1487,CA,Amazon,0
2541,107.45,32654,1121,FL,Walmart,0
2542,145.29,70527,1349,NY,Walmart,0
2543,187.03,8146,1099,WA,eBay,0
2544,95.09,70826,1283,WA,Amazon,0
2545,9.28,57550,1948,WA,Target,0
2546,66.87,80380,1526,NY,Target,0
2547,8.08,65564,1383,WA,Costco,0
2548,52.35,57531,1554,WA,Target,0
2549,52.27,83780,1800,TX,Amazon,0
2550,6.83,7934,1897,TX,eBay,0
2551,42.9,48049,1186,WA,Amazon,0
2552,11.77,55280,1007,CA,Amazon,0
2553,165.15,85934,1623,NY,Target,0
2554,295.05,53404,1544,CA,Walmart,0
2555,7.51,2127,1418,CA,Costco,0
2556,310.37,75619,1913,NY,Target,0
2557,73.94,62736,1089,NY,Target,0
2558,35.61,19091,1495,FL,Target,0
2559,8,9933,1660,FL,Costco,0
2560,69.44,15877,1959,FL,eBay,0
2561,158.24,34581,1923,WA,Target,0
2562,122.79,12519,1723,WA,eBay,0
2563,5.15,73352,1115,WA,eBay,0
2564,7.57,8351,1684,FL,Amazon,0
2565,51.56,15648,1019,NY,Walmart,0
2566,35,57548,1890,WA,Costco,0
2567,26.45,62823,1131,NY,Walmart,0
2568,32.99,44480,1291,FL,eBay,0
2569,162.7,39017,1353,NY,eBay,0
2570,264.83,80977,1236,WA,Costco,0
2571,51.94,39253,1588,NY,Walmart,0
2572,236.56,74713,1222,FL,Amazon,0
2573,38.79,21924,1435,WA,Walmart,0
2574,64.71,34864,1637,WA,Target,0
2575,25.62,12493,1038,FL,Walmart,0
2576,102.3,5337,1326,CA,eBay,0
2577,386.23,63281,1208,TX,Costco,0
2578,92.51,16035,1105,FL,Target,0
2579,44.29,69318,1651,NY,eBay,0
2580,104.36,79334,1248,CA,Walmart,0
2581,13.12,19884,1566,FL,Costco,0
2582,219.52,9074,1629,TX,Target,0
2583,69.93,26907,1861,WA,Walmart,0
2584,59.67,8624,1687,TX,Target,0
2585,88.16,73425,1353,TX,Amazon,0
2586,98.03,27256,1469,FL,Amazon,0
2587,7.45,10455,1724,WA,Costco,0
2588,114.76,11194,1264,WA,Amazon,0
2589,27.7,21622,1651,TX,eBay,1
2590,125.16,50969,1976,FL,Walmart,0
2591,172.9,73106,1463,WA,Target,0
2592,162.94,21487,1836,WA,Target,0
2593,80.41,617,1850,NY,Amazon,0
2594,73.43,6285,1440,TX,Target,0
2595,15.42,33224,1283,CA,Target,0
2596,149.32,66036,1784,TX,Walmart,0
2597,31.66,57226,1533,FL,Costco,0
2598,68.66,28994,1930,WA,Target,0
2599,33.45,62439,1368,WA,Amazon,0
2600,14.37,51467,1698,NY,Amazon,0
2601,99.31,23014,1718,WA,Costco,0
2602,5.59,70509,1658,WA,Target,0
2603,138.09,70310,1494,CA,Target,0
2604,38.21,81055,1945,TX,Target,0
2605,0.01,65254,1153,WA,Costco,0
2606,71.57,47117,1619,FL,Amazon,0
2607,4.8,61594,1315,CA,Target,0
2608,32.32,86116,1299,CA,Target,0
2609,122.75,50218,1439,NY,eBay,0
2610,6.47,46390,1994,FL,Walmart,0
2611,182.85,37484,1810,CA,Costco,0
2612,0.38,42588,1150,TX,Walmart,0
2613,28.35,13302,1969,FL,Costco,0
2614,135.06,55760,1405,TX,Walmart,0
2615,38.02,3234,1174,NY,eBay,0
2616,10.75,6494,1054,NY,Walmart,0
2617,44.67,59625,1778,WA,Target,0
2618,31.52,14239,1310,TX,Walmart,0
2619,184.97,70034,1153,TX,Walmart,0
2620,37.59,70803,1896,NY,Amazon,0
2621,155.56,55323,1499,TX,Costco,0
2622,222.44,12546,1995,FL,Walmart,0
2623,56.88,24479,1500,WA,Target,0
2624,240.73,36437,1189,WA,Target,0
2625,47.37,53867,1505,FL,Costco,0
2626,332.64,9657,1148,CA,eBay,0
2627,9.35,17259,1007,TX,Costco,0
2628,116.16,28645,1659,CA,Target,0
2629,68.09,62674,1684,CA,eBay,0
2630,49.04,77629,1592,TX,eBay,0
2631,100.16,74270,1590,NY,Amazon,0
2632,121.69,69052,1468,TX,Walmart,0
2633,0.44,15032,1320,NY,Amazon,0
2634,18.27,40001,1571,FL,Walmart,0
2635,124.84,26004,1450,NY,Amazon,0
2636,109.78,13170,1606,CA,eBay,0
2637,338.28,82494,1823,CA,Walmart,0
2638,143.14,17842,1127,CA,Target,0
2639,301.13,26067,1633,NY,eBay,0
2640,121.25,68708,1286,CA,Costco,0
2641,35.39,51622,1852,WA,eBay,0
2642,11.13,36195,1086,TX,Target,0
2643,152.25,40566,1893,CA,Amazon,0
2644,103.32,7736,1080,NY,Walmart,0
2645,4.94,48258,1533,CA,Amazon,0
2646,44.64,43475,1251,NY,Amazon,0
2647,314.19,44511,1189,TX,Walmart,0
2648,69.39,4206,1823,NY,Amazon,0
2649,56.69,19348,1597,TX,Target,0
2650,61.19,56057,1483,CA,Costco,0
2651,23.43,36081,1378,WA,Walmart,0
2652,46,62208,1455,CA,Amazon,0
2653,46.17,24854,1878,TX,Walmart,0
2654,5.38,18032,1007,FL,Amazon,0
2655,145.92,54679,1317,FL,Target,0
2656,53.87,29272,1333,FL,eBay,0
2657,172.7,35109,1229,CA,Costco,0
2658,189.94,50670,1663,NY,Costco,0
2659,23.82,50022,1507,WA,Walmart,0
2660,107.11,5538,1789,WA,Costco,0
2661,63.92,44237,1526,CA,Amazon,0
2662,212.16,9533,1979,TX,Target,0
2663,24.3,59650,1474,CA,Target,0
2664,113.26,71013,1923,FL,Walmart,0
2665,93.59,9363,1405,TX,Amazon,0
2666,35,77800,1286,WA,Costco,0
2667,14.69,46304,1968,CA,Amazon,0
2668,105.45,11819,1759,NY,Costco,0
2669,134.17,12191,1766,NY,Amazon,0
2670,37.93,6499,1445,WA,Costco,0
2671,103.52,63001,1342,TX,Costco,0
2672,50.27,17668,1324,FL,Target,0
2673,124.9,8762,1876,NY,eBay,0
2674,22.22,19248,1166,NY,eBay,0
2675,220.92,44944,1592,CA,Walmart,0
2676,33.88,76869,1295,WA,eBay,0
2677,45.85,13070,1580,NY,Walmart,0
